"","SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Id","Species"
"1",-0.897673879196766,1.02861128089724,-1.33679402028825,-1.30859281943796,1,"Iris-setosa"
"2",-1.13920048346495,-0.124540379301459,-1.33679402028825,-1.30859281943796,2,"Iris-setosa"
"3",-1.38072708773314,0.336720284778019,-1.39346985495282,-1.30859281943796,3,"Iris-setosa"
"4",-1.50149038986724,0.10608995273828,-1.28011818562368,-1.30859281943796,4,"Iris-setosa"
"5",-1.01843718133086,1.25924161293697,-1.33679402028825,-1.30859281943796,5,"Iris-setosa"
"6",-0.535383972794483,1.95113260905619,-1.16676651629455,-1.04652483156654,6,"Iris-setosa"
"7",-1.50149038986724,0.797980948857496,-1.33679402028825,-1.17755882550225,7,"Iris-setosa"
"8",-1.01843718133086,0.797980948857496,-1.28011818562368,-1.30859281943796,8,"Iris-setosa"
"9",-1.74301699413542,-0.355170711341198,-1.33679402028825,-1.30859281943796,9,"Iris-setosa"
"10",-1.13920048346495,0.10608995273828,-1.28011818562368,-1.43962681337367,10,"Iris-setosa"
"11",-0.535383972794483,1.48987194497671,-1.28011818562368,-1.30859281943796,11,"Iris-setosa"
"12",-1.25996378559905,0.797980948857496,-1.22344235095912,-1.30859281943796,12,"Iris-setosa"
"13",-1.25996378559905,-0.124540379301459,-1.33679402028825,-1.43962681337367,13,"Iris-setosa"
"14",-1.86378029626952,-0.124540379301459,-1.50682152428195,-1.43962681337367,14,"Iris-setosa"
"15",-0.0523307642581081,2.18176294109593,-1.45014568961738,-1.30859281943796,15,"Iris-setosa"
"16",-0.173094066392202,3.10428426925489,-1.28011818562368,-1.04652483156654,16,"Iris-setosa"
"17",-0.535383972794483,1.95113260905619,-1.39346985495282,-1.04652483156654,17,"Iris-setosa"
"18",-0.897673879196766,1.02861128089724,-1.33679402028825,-1.17755882550225,18,"Iris-setosa"
"19",-0.173094066392202,1.72050227701645,-1.16676651629455,-1.17755882550225,19,"Iris-setosa"
"20",-0.897673879196766,1.72050227701645,-1.28011818562368,-1.17755882550225,20,"Iris-setosa"
"21",-0.535383972794483,0.797980948857496,-1.16676651629455,-1.30859281943796,21,"Iris-setosa"
"22",-0.897673879196766,1.48987194497671,-1.28011818562368,-1.04652483156654,22,"Iris-setosa"
"23",-1.50149038986724,1.25924161293697,-1.56349735894652,-1.30859281943796,23,"Iris-setosa"
"24",-0.897673879196766,0.567350616817757,-1.16676651629455,-0.915490837630828,24,"Iris-setosa"
"25",-1.25996378559905,0.797980948857496,-1.05341484696542,-1.30859281943796,25,"Iris-setosa"
"26",-1.01843718133086,-0.124540379301459,-1.22344235095912,-1.30859281943796,26,"Iris-setosa"
"27",-1.01843718133086,0.797980948857496,-1.22344235095912,-1.04652483156654,27,"Iris-setosa"
"28",-0.776910577062672,1.02861128089724,-1.28011818562368,-1.30859281943796,28,"Iris-setosa"
"29",-0.776910577062672,0.797980948857496,-1.33679402028825,-1.30859281943796,29,"Iris-setosa"
"30",-1.38072708773314,0.336720284778019,-1.22344235095912,-1.30859281943796,30,"Iris-setosa"
"31",-1.25996378559905,0.10608995273828,-1.22344235095912,-1.30859281943796,31,"Iris-setosa"
"32",-0.535383972794483,0.797980948857496,-1.28011818562368,-1.04652483156654,32,"Iris-setosa"
"33",-0.776910577062672,2.41239327313567,-1.28011818562368,-1.43962681337367,33,"Iris-setosa"
"34",-0.41462067066039,2.64302360517541,-1.33679402028825,-1.30859281943796,34,"Iris-setosa"
"35",-1.13920048346495,0.10608995273828,-1.28011818562368,-1.43962681337367,35,"Iris-setosa"
"36",-1.01843718133086,0.336720284778019,-1.45014568961738,-1.30859281943796,36,"Iris-setosa"
"37",-0.41462067066039,1.02861128089724,-1.39346985495282,-1.30859281943796,37,"Iris-setosa"
